      30       0     -15      15       0       0       0       0       0       0
       0      40     -15      10       0       0       0       0       0       0
     -15     -15      30       0     -15      15       0       0       0       0
      15      10       0      40     -15      10       0       0       0       0
       0       0     -15     -15      30       0     -15      15       0       0
       0       0      15      10       0      40     -15      10       0       0
       0       0       0       0     -15     -15      30       0     -15      15
       0       0       0       0      15      10       0      40     -15      10
       0       0       0       0       0       0     -15     -15      30       0
       0       0       0       0       0       0      15      10       0      40
